location,total_cases,new_cases,total_tests,total_vaccinations,people_vaccinated,total_boosters,stringency_index,population_density,gdp_per_capita,year
Indonesia,3341480.0118074478,5813.295944779983,27321915.85714286,167992400.77850878,100566384.448,30880166.09090909,55.41401860465116,145.725,11188.744,2021.114655172414
Iran,4123746.275831087,6526.502586206897,18915977.180851065,111642544.21910113,51537600.687150836,22274878.734848484,60.49586976744186,49.831,19082.62,2021.114655172414
Iraq,1445585.3592057761,2125.469827586207,7718773.731793961,12166258.561797753,7866965.6625,214197.3125,59.520930232558136,88.125,15663.986,2021.114655172414
Ireland,723603.6560798548,1475.1948051948052,5308394.460144928,7851159.437262357,3262159.325728771,2606167.5,43.50838139534884,69.874,67335.293,2021.117900172117
Isle of Man,14928.213296398892,32.765517241379314,,109917.53383458647,54853.23529411765,49812.153846153844,,147.872,,2021.114655172414
Israel,1989895.97929793,4142.805004314064,18668403.030444965,14851550.581772784,5998503.812734082,4566123.930807249,44.12897674418605,402.606,33132.32,2021.122746781116
Italy,8830949.670194004,22148.365051903114,74616634.26266195,97526226.28819875,39967345.82857143,34104874.19633027,53.30565581395349,205.859,35220.084,2021.1211340206185
Jamaica,75304.57378551787,133.00603448275862,403296.157712305,1181929.0132890365,689644.6612903225,34401.77669902913,55.42737674418605,266.879,8193.571,2021.117900172117
Japan,6298004.39686684,28676.285344827586,15507505.869515011,218901501.22540984,83140355.97950819,90175735.04545455,41.10778604651163,347.778,39002.223,2021.1162790697674
Jersey,23683.734188817598,57.233620689655176,,186637.47727272726,76733.40909090909,55393.83720930233,,,,2021.114655172414
Jordan,895665.2406902816,1506.0318965517242,7032024.671641791,6213946.896713615,3361443.7311320757,657155.625,42.33813953488372,109.285,8337.49,2021.114655172414
Kazakhstan,789866.5422018348,1292.4344827586208,4408522.109619686,12072151.27946128,7623428.643652561,2384794.9444444445,52.24228837209302,6.681,24055.588,2021.114655172414
Kenya,202281.77226813592,295.6310344827586,939148.3602941176,7042446.9655172415,3530481.962184874,402094.88636363635,52.551386046511624,87.324,2993.028,2021.114655172414
Kiribati,3351.951573849879,4.322413793103448,,113137.57692307692,64790.653846153844,17417.636363636364,25.68580465116279,143.701,1981.132,2021.114655172414
Kosovo,139403.17064220185,235.50086206896552,1251402.2127659575,1569750.4731182796,804446.0067264574,98944.0602006689,49.96325581395349,168.155,9795.834,2021.114655172414
Kuwait,371262.43140794226,573.4740932642487,2716838.9698340874,6867443.5869565215,3248696.261904762,1349284.1785714286,50.59543255813953,232.128,65530.537000000004,2021.114655172414
Kyrgyzstan,134315.61105990782,178.19655172413792,,2630174.948490231,1344046.8961748634,,47.05870697674418,32.333,3393.474,2021.1195184866724
Laos,84962.05194805194,187.94827586206895,456798.3582089552,5032040.805309734,2765826.1181102362,,47.183497674418604,29.715,6397.36,2021.114655172414
Latvia,371664.7429609446,841.5189655172413,2792620.3846153845,1609120.7909407665,828586.1445993031,180606.57761732853,36.13030697674419,31.212,25063.846,2021.114655172414
Lebanon,622935.202520252,1063.4314063848144,4333816.0,2894881.7242990653,1579721.2202970297,495743.55555555556,52.87627906976744,594.561,13367.565,2021.114655172414
Lesotho,19502.88813229572,29.732758620689655,440259.347826087,656064.7692307692,578187.9130434783,106113.88888888889,44.75316279069767,73.562,2851.153,2021.114655172414
Liberia,4645.312154696133,6.981018119068162,139824.0,1463800.5405405406,1353192.972972973,1935.642857142857,46.011358139534885,49.127,752.788,2021.114655172414
Libya,285139.59369202226,437.2301724137931,,2463476.0803571427,1705690.7589285714,103980.47916666667,57.6369953488372,3.623,17881.509,2021.114655172414
Liechtenstein,8138.604545454546,18.47586206896552,36126.17725752509,43258.07373271889,19301.520737327188,15385.561855670103,33.64828837209302,237.01199999999997,,2021.114655172414
Lithuania,548625.8903985508,1127.7368421052631,3667728.3284671535,3261793.179144385,1531656.6430481283,539894.8647482014,36.723051162790696,45.135,29524.265,2021.1195184866724
Low income,1256267.6155234657,1971.5715517241379,,115003196.56875834,84545148.3457944,8504808.090464547,,,,2021.114655172414
Lower middle income,49962257.64736842,83496.95086206896,,2736134842.8962026,1411315423.8126583,296677373.0498282,,,,2021.122746781116
Luxembourg,127897.79200726612,273.59224137931034,2312094.2195985834,929548.3238636364,383221.27698863635,244008.97310126582,38.41796279069767,231.447,94277.965,2021.114655172414
Macao,,,,847147.6297968398,435826.90126582276,239201.44174757283,35.93757225433526,20546.766,104861.85099999998,2021.6592105263157
Madagascar,40735.98704902868,58.50431034482759,145929.26353790614,1247192.137254902,1094582.690909091,82113.65,39.03959069767441,43.951,1416.44,2021.114655172414
Malawi,50886.18241347053,76.53321829163072,141852.3729903537,1249819.3786764706,982952.5551470588,606506.5,43.194706976744186,197.519,1095.042,2021.114655172414
Malaysia,2074779.72823219,4348.256896551724,19369939.835990887,51262976.91834003,21644498.751004018,12682476.862007169,50.01295813953488,96.254,26808.164,2021.122746781116
Maldives,90517.16605839416,160.54105445116681,813427.1424501424,580597.1855955679,321451.0443213296,86050.99065420561,,1454.433,15183.615999999998,2021.114655172414
Mali,17793.08635097493,28.492241379310343,680773.2,1709425.6623376624,1260753.0,,38.275637209302324,15.196,2014.306,2021.114655172414
Malta,50821.010027347314,101.38793103448276,1041775.8762446657,956236.2186629527,392125.1910739191,458684.5974025974,40.68048372093023,1454.037,36513.323,2021.114655172414
Marshall Islands,3601.155813953488,13.49051724137931,312.3636363636364,,,,,295.15,3819.202,2021.114655172414
Martinique,80295.11232876712,197.43103448275863,,,,,,,,2021.114655172414
Mauritania,34090.30486685032,54.78343399482312,267483.39520958083,1458492.7105263157,1024579.1162790698,198110.75,36.973423255813955,4.289,3597.633,2021.114655172414
Mauritius,99554.73062730627,255.20862068965516,974974.3333333334,1833367.475409836,826600.5593220339,607370.3225806452,34.9762976744186,622.962,20292.745,2021.114655172414
Mayotte,22242.320477502297,36.996548748921484,,,,,,,,2021.114655172414
Mexico,3596769.872972973,6451.341968911917,6365760.998888889,80852333.27228916,45943680.76600985,52594355.73913044,45.11731162790698,66.444,17336.469,2021.1127366609294
Micronesia (country),12828.965299684543,20.644827586206898,,,,,,150.777,3299.464,2021.114655172414
Moldova,311298.8102189781,527.6770293609671,,1250003.173611111,363286.3333333333,346974.375,41.966679069767444,123.65499999999999,5189.972,2021.114655172414
Monaco,6053.435176790571,13.895689655172413,,33357.846153846156,19238.583333333332,10598.0,37.323339534883715,19347.5,,2021.114655172414
